what,kind,bundleId,bundleVersion,description,time
java.vm.version,sysinfo,,,"20.6-b01",1333811172640
started,bundle,org.eclipse.wst.wsdl.validation,1.1.502.v201104071820,"org.eclipse.wst.wsdl.validation",1333811173530
started,bundle,org.eclipse.wst.xsd.core,1.1.600.v201104070312,"org.eclipse.wst.xsd.core",1333811173545
started,bundle,org.eclipse.wst.xsl.core,1.1.100.v201102270516,"org.eclipse.wst.xsl.core",1333811173620
started,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201106061540,"org.eclipse.epp.usagedata.ui",1333811174015
started,bundle,com.amazonaws.eclipse.core,2.0.0.v201203081656,"com.amazonaws.eclipse.core",1333811177310
started,bundle,com.amazonaws.eclipse.elasticbeanstalk,1.0.0.v201201171636,"com.amazonaws.eclipse.elasticbeanstalk",1333811177610
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1333811177865
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1333811199297
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1333811200267
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1333811202282
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1333811211273
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1333811243398
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1333811321895
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1333811323571
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1333811324886
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.refresh",1333811326321
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1333811333117
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1333812193904
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1333812546701
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1333812552523
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1333812941543
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1333817448572
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1333817449227
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1333817519649
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1333817519784
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1333817520006
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1333817527038
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1333818002933
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1333818071323
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1333818086754
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1333818098580
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1333818149733
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1333818153634
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1333818154054
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1333818155871
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1333818156156
started,bundle,org.eclipse.pde.launching,3.6.0.v20110506,"org.eclipse.pde.launching",1333818173145
started,bundle,org.eclipse.ui.views.log,1.0.200.v20110404,"org.eclipse.ui.views.log",1333818173185
